"yrbrn","prtvteit","prtclfit","ipcrtiva","impricha","ipeqopta","ipshabta","impsafea","impdiffa","ipfrulea","ipudrsta","likrisk","liklead","sothnds","eqwrkbg","eqpolbg","ppltrst","trstlgl","trstplc","trstplt","trstep","trstun","lrscale","euftf","atchctr","atcherp","ccrdprs","edlvfit","trstprl","ipmodsta","ipgdtima","impfreea","iphlppla","ipsucesa","ipstrgva","ipadvnta","ipbhprpa","iprspota","iplylfra","impenva","imptrada","impfuna","ccnthum","dscrgrp","ctzcntr","brncntr","feethngr","pbldmna","volunfp","mbtru","emplrel","impcntr","hincfel","polintr","aesfdrk","gincdif","freehms","vteurmmb","lrnobed","domicil","loylead","wprtbym","actrolga"
1950,66,66,2,3,2,3,1,3,3,3,4,3,4,5,3,2,5,7,1,4,4,5,5,7,4,5,4,2,3,3,2,2,2,2,4,2,2,2,2,2,3,4,2,1,1,1,2,2,3,6,3,2,8,3,2,2,1,2,4,4,2,1
1998,77,1,1,3,3,2,88,2,4,3,1,4,4,6,6,88,4,6,0,3,4,8,5,8,6,5,12,4,2,3,1,3,1,3,3,88,3,2,2,88,1,3,2,1,1,1,2,2,3,6,2,1,2,2,1,1,1,3,3,3,8,3
1989,77,2,3,88,3,3,3,2,88,3,4,3,5,5,5,5,6,5,4,6,5,0,5,8,7,8,17,6,3,3,3,2,2,3,3,4,3,2,3,3,2,3,2,1,1,1,2,1,3,6,2,1,2,2,2,2,1,2,8,3,2,3
1988,66,66,1,4,1,1,1,2,2,3,4,5,4,4,3,3,5,6,3,5,4,77,4,8,5,4,9,2,2,2,1,1,2,1,1,2,1,1,1,4,2,4,2,1,1,1,2,2,3,2,2,2,4,2,1,3,55,3,1,4,3,1
1960,66,66,2,2,3,2,2,1,1,1,3,3,5,8,8,5,3,2,2,1,1,77,3,4,4,4,4,3,2,2,3,3,3,3,4,4,3,2,1,1,1,3,2,1,1,1,2,2,3,9,1,3,4,2,3,2,1,2,4,2,3,8
1949,66,66,4,5,2,3,2,5,3,88,2,1,4,8,8,0,0,5,0,0,0,77,88,7,0,7,2,0,2,5,3,3,88,88,5,3,3,3,3,2,4,4,2,1,1,1,2,2,3,6,3,7,4,3,2,3,88,2,3,2,3,1
1971,66,66,2,5,1,4,1,3,1,3,0,1,5,6,6,4,6,6,1,1,1,88,4,7,4,6,4,1,1,4,1,2,2,1,6,1,1,2,3,2,4,3,2,1,1,1,2,2,3,1,3,3,3,4,1,2,1,2,3,4,4,2
1988,2,2,2,5,1,1,2,3,1,2,3,5,5,5,5,4,7,10,7,6,6,3,9,10,8,9,12,6,2,2,1,2,1,1,4,1,1,1,2,2,1,3,2,1,1,1,1,2,3,1,1,1,2,1,1,1,1,1,3,1,1,3
1960,66,66,3,3,1,3,1,3,2,1,2,2,5,6,6,3,5,5,0,5,5,5,3,8,9,5,4,3,1,2,1,1,2,1,4,2,1,1,2,1,3,3,2,1,1,1,2,2,3,1,3,2,3,2,1,3,55,2,3,4,2,1
1993,1,1,3,3,3,3,3,3,3,3,4,4,6,6,3,6,6,8,5,6,6,8,0,10,10,4,9,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,2,2,3,6,4,7,2,8,1,2,88,1,4,1,2,3
1987,2,2,1,4,1,1,2,1,3,2,3,2,5,6,6,7,7,8,3,4,3,3,7,10,10,10,4,5,3,3,1,2,2,3,4,1,2,1,1,4,2,4,2,1,1,1,2,2,3,1,1,3,2,2,1,1,1,3,3,3,2,2
1996,1,66,1,2,2,2,2,3,2,3,6,2,6,6,6,5,5,6,3,3,4,5,4,4,4,5,4,4,2,2,2,2,2,2,2,2,5,4,3,2,2,3,2,1,1,1,2,2,3,6,2,3,3,3,1,2,1,1,4,4,1,1
