"yrbrn","prtvteit","prtclfit","ipcrtiva","impricha","ipeqopta","ipshabta","impsafea","impdiffa","ipfrulea","ipudrsta","likrisk","liklead","sothnds","eqwrkbg","eqpolbg","ppltrst","trstlgl","trstplc","trstplt","trstep","trstun","lrscale","euftf","atchctr","atcherp","ccrdprs","edlvfit","trstprl","ipmodsta","ipgdtima","impfreea","iphlppla","ipsucesa","ipstrgva","ipadvnta","ipbhprpa","iprspota","iplylfra","impenva","imptrada","impfuna","ccnthum"
1938,66,66,4,4,1,2,1,4,3,3,0,0,5,6,6,3,2,1,0,2,1,77,4,9,7,5,4,2,2,5,2,2,1,2,6,2,2,2,1,1,6,3
1935,66,66,4,88,88,88,1,5,3,3,0,0,5,6,6,0,7,7,0,0,10,77,0,9,0,1,2,0,2,3,3,3,88,2,88,2,4,2,2,1,3,88
1967,7,7,3,4,1,2,1,2,1,2,0,0,6,5,5,3,8,8,7,7,8,3,7,8,7,3,4,7,2,4,2,1,3,1,4,4,2,1,2,4,3,4
1953,4,66,4,5,3,4,3,4,2,3,0,0,4,6,6,4,6,7,4,6,6,6,2,5,5,8,4,5,3,5,3,3,4,2,4,3,4,3,2,2,3,3
1961,77,66,1,6,1,5,1,2,1,1,0,0,6,5,5,2,6,10,3,2,2,88,6,9,5,10,4,4,1,4,2,1,3,2,6,1,1,1,1,1,3,4
1968,66,4,2,4,2,3,3,3,3,2,1,3,2,6,4,4,4,3,2,1,1,8,4,9,2,5,4,3,2,4,3,2,3,3,4,2,3,2,3,2,3,4
1973,88,66,2,4,1,3,5,2,3,1,4,0,5,2,5,9,6,7,4,8,9,1,8,7,8,8,6,6,2,1,2,2,1,2,1,2,3,1,1,1,5,5
1951,2,66,3,4,1,4,1,2,2,1,1,1,5,6,6,3,6,7,2,4,3,5,3,7,5,4,6,3,1,4,2,1,3,1,4,1,4,2,1,2,4,4
1983,77,77,1,2,1,1,1,1,3,2,0,5,6,6,6,2,5,4,0,0,0,6,0,10,7,2,4,0,2,2,1,2,3,1,5,2,1,1,1,1,1,4
1977,77,66,2,4,1,2,1,2,2,1,1,1,5,6,6,4,2,2,0,0,4,77,3,8,8,4,9,3,1,4,3,1,2,2,6,2,2,2,2,2,4,3
1938,2,2,4,4,1,3,1,4,1,2,0,1,4,6,6,3,6,8,4,6,6,3,7,10,9,3,4,4,1,4,1,2,3,1,4,3,3,2,1,1,4,4
1969,3,3,1,4,1,3,1,2,3,1,4,3,6,6,6,6,7,6,4,5,3,4,10,6,4,9,9,0,1,3,1,1,2,1,2,3,3,1,1,1,3,4
1993,66,66,4,4,1,3,4,4,2,2,2,3,4,4,3,5,5,5,3,5,5,88,8,8,7,6,3,5,2,5,4,5,5,4,5,3,3,2,3,3,3,3
1963,4,4,2,4,3,4,3,3,3,2,1,2,4,6,6,6,4,7,6,4,6,8,3,10,6,3,6,8,3,5,3,3,3,3,4,3,3,2,2,2,3,3
1935,5,5,3,6,1,5,1,2,3,2,0,0,5,6,3,3,3,7,4,4,5,8,0,0,8,5,4,5,1,5,4,2,4,1,6,2,3,2,2,2,4,1
2001,66,66,3,5,1,3,2,3,2,1,2,2,4,6,5,6,6,6,6,7,6,88,0,6,7,9,11,6,2,5,3,1,3,1,4,4,2,1,1,4,2,4
1959,77,66,77,77,77,77,77,77,77,77,8,8,4,8,5,7,6,6,4,5,88,77,88,10,4,7,3,4,77,77,77,77,77,77,77,77,77,77,77,77,77,3
1994,77,66,2,3,1,3,1,2,2,1,1,1,5,6,6,4,5,7,1,4,4,5,5,7,4,5,8,4,1,3,1,2,2,1,4,2,4,1,1,3,3,4
1939,2,66,3,4,1,4,1,4,2,2,1,0,6,6,6,5,5,8,1,88,88,5,3,8,5,3,4,2,1,4,3,1,2,1,6,2,5,2,1,1,5,3
1970,66,3,3,5,6,2,3,2,2,4,0,2,2,8,8,1,2,2,2,3,2,6,3,6,3,6,9,3,6,5,5,3,3,3,1,6,6,5,2,1,3,1
1962,9,66,1,6,2,1,1,2,4,1,3,2,4,6,6,6,0,4,2,0,0,8,1,8,1,3,8,0,3,2,1,3,2,1,4,3,1,1,2,1,3,1
1954,66,66,2,4,4,3,1,3,2,3,2,4,4,4,3,0,4,2,3,5,3,5,0,8,2,8,6,2,4,3,1,3,3,2,4,4,1,3,3,3,3,3
1940,2,2,3,4,1,2,2,2,2,1,3,6,3,0,6,5,5,8,5,9,8,2,10,10,10,8,4,5,1,1,1,1,3,1,2,1,1,1,1,1,1,4
1994,3,66,1,5,1,3,2,2,4,2,6,2,4,5,5,7,7,8,6,8,9,3,9,9,8,88,12,6,3,4,2,1,2,2,3,3,3,2,2,2,4,4
1979,3,66,1,1,1,1,1,1,3,2,1,0,3,6,6,6,1,3,0,0,0,4,6,8,6,6,4,0,2,3,2,2,2,1,5,2,1,1,1,1,2,4
1947,1,66,3,6,2,4,2,3,3,2,1,3,3,6,6,8,8,8,7,8,6,8,0,10,9,8,9,5,2,3,1,2,3,2,4,4,4,2,2,2,2,4
1974,1,1,3,4,2,3,3,3,2,2,2,3,4,4,5,5,0,7,6,4,6,8,2,10,4,3,8,8,3,4,3,3,3,2,4,3,2,2,3,3,4,2
2009,66,66,2,4,2,2,1,2,2,2,0,3,3,6,6,6,6,7,4,5,6,0,8,6,7,5,4,6,5,2,3,2,1,2,5,2,2,2,1,6,4,4
1968,66,66,4,5,6,5,5,5,6,6,4,3,5,4,4,7,7,7,5,5,4,6,6,8,8,6,5,8,6,6,5,5,4,5,6,6,5,5,5,5,4,3
1990,2,66,2,4,1,2,2,2,6,2,1,4,5,6,6,6,6,8,4,4,4,3,8,8,6,7,17,5,3,3,2,2,2,2,5,2,1,1,1,3,2,3
2008,66,66,3,4,4,4,4,2,3,4,3,4,4,3,3,6,7,7,7,6,6,7,5,5,6,5,4,7,3,4,4,3,5,3,3,4,2,2,5,2,4,3
1954,3,66,3,88,88,77,77,77,4,4,3,3,3,3,3,3,4,3,3,5,5,88,4,4,4,7,4,3,88,1,2,2,88,4,3,2,88,3,2,3,88,88
1967,1,1,4,4,3,3,4,3,3,2,3,4,5,6,6,5,6,8,7,5,6,8,2,9,8,8,9,8,2,3,2,2,2,2,4,3,3,2,1,3,3,3
1958,66,66,4,3,4,2,3,4,5,2,2,3,6,5,6,6,7,5,5,9,8,5,5,6,8,7,8,5,2,2,3,4,5,4,5,3,4,2,3,4,6,3
1966,3,3,1,1,1,1,1,2,2,2,5,4,6,6,6,1,5,7,2,4,3,6,5,9,8,5,4,5,1,2,3,2,2,2,2,5,1,1,1,1,1,2
1961,5,5,3,5,1,4,1,2,1,1,0,1,5,6,4,5,3,5,1,5,5,7,2,7,6,7,6,2,1,4,3,1,2,1,5,2,5,1,2,1,3,3
1939,66,66,2,2,2,2,2,2,2,2,0,4,6,6,4,2,8,9,0,0,0,88,0,10,5,88,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,88
2004,66,66,66,66,66,66,66,66,66,66,4,0,5,6,6,7,6,4,2,7,6,77,7,10,4,10,9,8,66,66,66,66,66,66,66,66,66,66,66,66,66,5
1951,5,5,1,4,1,4,1,1,2,1,0,0,5,5,5,0,7,8,2,1,2,7,2,8,0,0,17,2,1,3,1,2,4,4,2,4,2,2,3,1,2,2
1969,2,2,3,2,1,2,2,2,2,2,2,2,4,6,6,7,7,6,7,6,6,2,10,8,8,9,9,7,1,2,1,1,2,1,2,2,2,1,1,1,1,4
1984,5,5,1,3,3,2,2,3,3,3,2,3,1,4,3,5,4,7,3,1,1,8,0,9,1,0,8,4,2,3,4,4,2,1,4,2,3,2,3,3,3,2
1979,2,2,2,4,2,2,1,4,3,2,2,4,3,6,6,4,6,9,1,4,3,2,3,8,4,8,9,2,2,4,3,2,3,1,5,2,4,2,1,1,3,4
1960,3,66,4,6,1,6,1,5,3,3,0,0,6,6,6,3,6,8,2,5,4,6,5,9,4,2,4,2,1,5,2,1,5,1,6,1,4,1,1,1,5,2
